addr_county_code,STNAME,CTYNAME,TOTAL 0-9 years,MALE 0-9 years,FEMALE 0-9 years,TOTAL Gen Z (10-25),MALE Gen Z (10-25),FEMALE GEN Z (10-25),TOTAL Millenials (26-41),MALE Millenials (26-41),FEMALE Millenials (26-41),TOTAL Gen X (42-57),MALE Gen X (42-57),FEMALE Gen X (42-57),TOTAL Boomers II (58-67),MALE Boomers II (58-67),FEMALE Boomers II (58-67),TOTAL Boomers I (68-76),MALE Boomers I (68-76),FEMALE Boomers I (68-76),TOTAL Post War/WWII (77+),MALE Post War/WWII (77+),FEMALE Post War/WWII (77+)
1001,Alabama,Autauga County,6840,3524,3316,10602,5401,5201,11201,5467,5734,15004,7269,7735,6231,2942,3289,2386,1032,1354,3866,1596,2270
1003,Alabama,Baldwin County,25448,13193,12255,38883,19540,19343,38906,19089,19817,59012,28264,30748,32329,14870,17459,13806,6532,7274,19605,8932,10673
1005,Alabama,Barbour County,2666,1332,1334,4379,2371,2008,4969,3016,1953,6150,3392,2758,3009,1432,1577,1406,619,787,2073,856,1217
1007,Alabama,Bibb County,2431,1228,1203,3770,2091,1679,4819,2851,1968,6038,3277,2761,2531,1234,1297,1047,492,555,1563,634,929
1009,Alabama,Blount County,7064,3625,3439,10621,5408,5213,10432,5221,5211,15149,7575,7574,7017,3437,3580,3066,1407,1659,4583,1963,2620
1011,Alabama,Bullock County,1165,564,601,1701,954,747,2191,1389,802,2524,1455,1069,1306,669,637,430,187,243,733,281,452
1013,Alabama,Butler County,2291,1178,1113,3521,1855,1666,3408,1614,1794,4744,2076,2668,2702,1245,1457,991,457,534,1868,666,1202
1015,Alabama,Calhoun County,13033,6631,6402,22049,11204,10845,21547,10532,11015,28267,13664,14603,14778,6824,7954,5701,2553,3148,8329,3260,5069
1017,Alabama,Chambers County,3730,1905,1825,5577,2845,2732,6025,2893,3132,8497,4068,4429,4519,2101,2418,1821,834,987,2820,1094,1726
1019,Alabama,Cherokee County,2531,1288,1243,4227,2117,2110,4097,2081,2016,6906,3463,3443,4129,2028,2101,1841,925,916,2588,1135,1453
1021,Alabama,Chilton County,5629,2829,2800,8430,4239,4191,8210,4098,4112,11483,5700,5783,5477,2604,2873,2076,955,1121,3112,1341,1771
1023,Alabama,Choctaw County,1302,637,665,2045,1061,984,1953,946,1007,3211,1516,1695,1835,824,1011,773,342,431,1350,573,777
1025,Alabama,Clarke County,2643,1315,1328,4248,2127,2121,3981,1916,2065,6012,2800,3212,3061,1423,1638,1225,586,639,2228,893,1335
1027,Alabama,Clay County,1447,742,705,2252,1189,1063,2204,1034,1170,3493,1715,1778,1760,851,909,718,348,370,1278,526,752
1029,Alabama,Cleburne County,1862,937,925,2595,1353,1242,2608,1304,1304,3926,1982,1944,1866,875,991,831,384,447,1288,528,760
